GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0015990	electron transport coupled proton transport	4	0.008928571428571428	43.9375	2.6482523671775587e-07	8.624939814786702e-05	4.064243926770309	0.0032774771296189466	NDUFS7, MT-CO1, MT-ND4, MT-ND5
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	42	0.09375	41.00833333333334	1.921484348069365e-66	2.378029029170646e-62	61.623782848148075	2.378029029170646e-62	NDUFA7, NDUFAB1, NDUFB10, NDUFC1, NDUFS6, NDUFA2, NDUFV3, NDUFS1, MT-ND2, NDUFB2, MT-ND6, MT-ND3, NDUFA3, NDUFA8, NDUFB5, NDUFA10, NDUFB7, NDUFS4, NDUFS7, NDUFA1, NDUFS8, MT-ND1, NDUFC2, NDUFB9, MT-ND4, NDUFS5, NDUFC2-KCTD14, NDUFA4, MT-ND4L, NDUFS2, NDUFB3, MT-ND5, NDUFS3, NDUFA5, NDUFB6, NDUFV2, NDUFB1, NDUFB4, NDUFA9, NDUFA6, NDUFB8, NDUFV1
GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	9	0.020089285714285716	39.54375	1.483695779145633e-14	2.040246551411817e-11	10.690317347550739	1.8362218962706352e-10	UQCRH, UQCRQ, UQCRFS1, UQCRHL, UQCRB, UQCR10, MT-CYB, CYCS, CYC1
GO:0006123	mitochondrial electron transport, cytochrome c to oxygen	14	0.03125	38.4453125	9.425527279882993e-22	3.888344187194397e-18	17.410235299305608	1.1665032561583192e-17	COX7A1, COX6A2, COX4I1, COX8C, COX5A, COX7A2L, COX5B, MT-CO1, COX6A1, MT-CO2, CYCS, MT-CO3, COX4I2, COX7C
GO:0034727	piecemeal microautophagy of the nucleus	6	0.013392857142857142	37.660714285714285	9.233642381587224e-10	5.194343550660158e-07	6.284469329789161	1.1427555811452348e-05	ATG2A, ULK2, RB1CC1, ATG13, ULK1, ATG2B
GO:0042776	mitochondrial ATP synthesis coupled proton transport	11	0.024553571428571428	32.22083333333333	9.45554114062776e-16	1.6717396736629879e-12	11.776831350757064	1.1702177715640917e-11	ATP5F1D, ATP5PD, ATP5F1A, ATP5F1E, MT-ATP6, ATP5PO, MT-ATP8, ATP5F1B, ATP5PB, ATP5PF, ATP5F1C
GO:0008635	activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c	5	0.011160714285714286	31.38392857142857	1.2080689275120624e-07	4.153072513024801e-05	4.381630486002665	0.0014951061046889285	DIABLO, APAF1, CASP9, CYCS, BAX
GO:0006119	oxidative phosphorylation	9	0.020089285714285716	30.418269230769234	9.982277223293783e-13	9.503127916575682e-10	9.022133424887773	1.2354066291548385e-08	UQCRH, COX6B2, UQCRC2, MSH2, UQCRB, UQCRC1, FXN, COX7B2, ATP5F1C
GO:0015986	ATP synthesis coupled proton transport	10	0.022321428571428572	29.291666666666668	9.159505480177984e-14	1.0305276347516612e-10	9.986940357636117	1.1335803982268274e-09	ATP5F1D, ATP5PD, ATP5F1A, ATP5MC1, MT-ATP6, ATP5PO, ATP5MC2, ATP5PB, ATP5F1C, ATP5MC3
GO:0032981	mitochondrial respiratory chain complex I assembly	37	0.08258928571428571	28.029094827586206	7.98408934218444e-47	4.940554484943731e-43	42.30622430689869	9.881108969887463e-43	NDUFAB1, NDUFB10, NDUFC1, NDUFB11, NDUFA2, NDUFA13, NDUFS1, MT-ND2, NDUFB2, MT-ND6, NDUFA3, NDUFA8, NDUFB5, NDUFA10, NDUFB7, NDUFS4, NDUFS7, NDUFA1, NDUFS8, MT-ND1, NDUFC2, NDUFB9, MT-ND4, NDUFS5, NDUFA12, NDUFS2, NDUFB3, MT-ND5, NDUFS3, NDUFA5, NDUFB6, NDUFB1, NDUFA11, NDUFB4, NDUFA9, NDUFA6, NDUFB8
GO:0042775	mitochondrial ATP synthesis coupled electron transport	6	0.013392857142857142	26.3625	2.613269535906892e-08	1.1152353026339206e-05	4.952633491491005	0.00032341823776383695	NDUFB6, SNCA, NDUFV3, NDUFA12, NDUFS2, NDUFV1
