GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0410291	Negativism	10	0.022321428571428572	43.9375	3.378349716715563e-17	5.9015132600429315e-15	14.229036612727384	3.009771762621895e-13	CHI3L1, HTR2A, MTHFR, APOL4, DRD3, DAOA, RTN4R, APOL2, SYN2, COMT
HP:0001112	Leber optic atrophy	9	0.020089285714285716	39.54375	1.483695779145633e-14	1.9156877820881804e-12	11.717675270604667	1.3218245696408443e-10	MT-ND6, MT-ND1, MT-CO3, MT-ND4, MT-CYB, MT-ATP6, MT-ND2, MT-ND4L, MT-ND5
HP:0000816	Abnormality of Krebs cycle metabolism	7	0.015625	38.4453125	2.3694520001993408e-11	1.8517059534891162e-09	8.732427977111975	2.1109447869775928e-07	MT-ND6, MT-ND1, MT-ND3, MT-ND4, MT-ATP6, MT-ND2, MT-ND5
HP:0012429	Aplasia/Hypoplasia of the cerebral white matter	7	0.015625	38.4453125	2.3694520001993408e-11	1.8517059534891162e-09	8.732427977111975	2.1109447869775928e-07	MT-ND6, MT-ND1, MT-CO1, MT-ND4, MT-CO2, MT-CO3, MT-ND5
HP:0007086	Social and occupational deterioration	12	0.026785714285714284	37.660714285714285	1.4587624626238519e-18	3.09431304274188e-16	15.509435752091663	1.2996114779515897e-14	CHI3L1, HTR2A, MTHFR, CREBBP, APOL4, DRD3, DAOA, RTN4R, APOL2, SYN2, EP300, COMT
HP:0000576	Centrocecal scotoma	11	0.024553571428571428	37.17788461538461	5.630055926251575e-17	9.288549675365794e-15	14.032052091943623	5.015816824697529e-13	MT-ND4L, MT-ND6, MT-ND1, MT-CO1, MT-ND4, MT-CYB, MT-ATP6, MT-CO3, MT-ND2, NDUFS2, MT-ND5
HP:0004309	Ventricular preexcitation	11	0.024553571428571428	37.17788461538461	5.630055926251575e-17	9.288549675365794e-15	14.032052091943623	5.015816824697529e-13	MT-ND4L, MT-ND6, MT-ND1, MT-CO1, MT-ND4, MT-CYB, MT-ATP6, MT-CO3, MT-ND2, NDUFS2, MT-ND5
HP:0000623	Supranuclear ophthalmoplegia	4	0.008928571428571428	35.15	1.300227320785546e-06	5.6231675732419554e-05	4.250018974102209	0.01158372520087843	ATXN7, ATXN1, ATXN2, ATXN3
HP:0007768	Central retinal vessel vascular tortuosity	9	0.020089285714285716	32.95312500000001	3.134381936685833e-13	3.405391301699279e-11	10.467832977611764	2.7924208673934084e-09	MT-ND6, MT-ND1, MT-CO3, MT-ND4, MT-CYB, MT-ATP6, MT-ND2, MT-ND4L, MT-ND5
HP:0008316	Abnormal mitochondria in muscle tissue	27	0.060267857142857144	31.21875	1.926163370599308e-36	8.580094734334616e-33	32.06650791700309	1.7160189468669235e-32	NDUFB10, NDUFS6, NDUFB11, SDHA, NDUFS1, MT-ND2, MT-ND6, MT-ND3, NDUFS4, NDUFS7, NDUFA1, NDUFS8, MYH7, MT-ND1, NDUFB9, MT-CO1, MT-ND4, MT-CO2, NDUFS2, NDUFB3, MT-ND5, NDUFS3, NDUFV2, NDUFA11, NDUFA6, MT-CO3, NDUFV1
HP:0001427	Mitochondrial inheritance	12	0.026785714285714284	31.01470588235294	9.323269032293131e-17	1.457210593135079e-14	13.836477680331996	8.306100380869951e-13	MT-ND4L, MT-ND6, MT-ND1, MT-CO1, MT-ND4, MT-CYB, MT-CO2, MT-ATP6, MT-CO3, MT-ND2, NDUFS4, MT-ND5
HP:0100611	Multiple glomerular cysts	7	0.015625	30.75625	3.416202639479618e-10	2.4743861231808064e-08	7.606532528602558	3.043494931512392e-06	MT-ND6, MT-ND1, MT-ND3, MT-ND4, MT-ATP6, MT-ND2, MT-ND5
