Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
CPC016_SKB_24H:BRD-A74667430-001-15-2:10	DB00749	Etodolac	-0.4006141483219704	-2.5778773221032787	<1e-05	<1e-05	SKB
NMH002_NEU_24H:BRD-K60623809-001-04-6:10	DB08009	SU-11652	-0.47352623090895507	-2.5742065819126947	<1e-05	<1e-05	NEU
NMH001_NEU_24H:BRD-A47564106-001-07-5:10	DB12161	Deutetrabenazine	-0.4514961608734016	-2.534549959189235	<1e-05	<1e-05	NEU
CPC016_SKB_24H:BRD-K59058766-003-15-1:10	DB01239	Chlorprothixene	-0.4528699645957683	-2.5287691464552804	<1e-05	<1e-05	SKB
CPC018_SKB_24H:BRD-A79768653-001-03-9:10	DB00877	Sirolimus	-0.3928232002209628	-2.479670460058644	<1e-05	<1e-05	SKB
CPC015_SKB_24H:BRD-A68930007-001-03-1:10	DB01092	Ouabain	-0.4333662792164946	-2.4331708494152995	<1e-05	<1e-05	SKB
CPC018_NPC_24H:BRD-K06980535-003-15-0:10	DB00420	Promazine	-0.4284275584848378	-2.428483728997868	<1e-05	<1e-05	NPC
NMH002_NEU_24H:BRD-K52313696-001-10-7:10	DB12291	Tacedinaline	-0.4482959927100391	-2.419126735508004	<1e-05	<1e-05	NEU
NMH002_NEU_24H:BRD-K17953061-001-12-7:10	DB02010	Staurosporine	-0.4627277150651077	-2.407441541667921	<1e-05	<1e-05	NEU
LJP007_SKL_24H:D21	DB06616	Bosutinib	-0.40634975836239084	-2.3894176974729198	<1e-05	<1e-05	SKL
CPC014_SKB_24H:BRD-K52911425-001-01-5:10	DB11663	Pictilisib	-0.4092271114549985	-2.379642409257415	<1e-05	<1e-05	SKB
CPC017_SKB_24H:BRD-K07691486-001-04-9:10	DB06195	Seliciclib	-0.40514007059073764	-2.373921599811207	<1e-05	<1e-05	SKB
NMH002_NPC_6H:BRD-K12184916-001-08-9:10	DB11651	Dactolisib	-0.40857856007778265	-2.356503893632829	<1e-05	<1e-05	NPC
NMH002_NEU_24H:BRD-A56798952-001-01-5:1	DB06733	Bafilomycin A1	-0.392695702108353	-2.342847047834893	<1e-05	<1e-05	NEU
CPC018_SKB_24H:BRD-A46747628-001-01-9:10	DB01092	Ouabain	-0.38577415776680485	-2.3412061742936348	<1e-05	<1e-05	SKB
CPC015_SKB_24H:BRD-A06352418-001-15-0:10	DB00342	Terfenadine	-0.40872768745735993	-2.333546459240714	<1e-05	<1e-05	SKB
