GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0036402	proteasome-activating activity	6	0.013392857142857142	43.9375	1.3449865633405614e-10	4.26264670110148e-08	7.37032066128214	5.967705381542071e-07	PSMC2, PSMC5, PSMC3, PSMC6, PSMC1, PSMC4
GO:0008121	ubiquinol-cytochrome-c reductase activity	6	0.013392857142857142	43.9375	1.3449865633405614e-10	4.26264670110148e-08	7.37032066128214	5.967705381542071e-07	UQCRH, CYC1, UQCR10, UQCRC1, MT-CYB, UQCRFS1
GO:0005471	ATP:ADP antiporter activity	4	0.008928571428571428	43.9375	2.6482523671775587e-07	5.108824240507316e-05	4.291679038145848	0.0011750295753166827	SLC25A4, SLC25A6, SLC25A5, SLC25A31
GO:0004971	AMPA glutamate receptor activity	4	0.008928571428571428	43.9375	2.6482523671775587e-07	5.108824240507316e-05	4.291679038145848	0.0011750295753166827	GRIA4, GRIA1, GRIA2, GRIA3
GO:0001055	RNA polymerase II activity	5	0.011160714285714286	43.9375	5.974715706430802e-09	1.5594007993784394e-06	5.807042247487694	2.6509813589433467e-05	POLR2J3, POLR2J, POLR2J2, POLR2A, POLR2B
GO:0008137	NADH dehydrogenase (ubiquinone) activity	42	0.09375	43.93749999999999	1.4395572852546437e-70	6.387315674674854e-67	66.19468161955807	6.387315674674854e-67	NDUFA7, NDUFB10, NDUFC1, NDUFS6, NDUFA2, NDUFA13, NDUFV3, NDUFS1, MT-ND2, NDUFB2, MT-ND6, MT-ND3, NDUFA3, NDUFA8, NDUFB5, NDUFA10, NDUFB7, NDUFS4, NDUFS7, NDUFA1, NDUFS8, MT-ND1, NDUFC2, NDUFB9, MT-ND4, NDUFS5, NDUFA4, NDUFA12, MT-ND4L, NDUFS2, NDUFB3, MT-ND5, NDUFS3, NDUFA5, NDUFB6, NDUFV2, NDUFB1, NDUFB4, NDUFA9, NDUFA6, NDUFB8, NDUFV1
GO:0003954	NADH dehydrogenase activity	10	0.022321428571428572	39.94318181818182	3.6409728771684493e-16	3.230999331199282e-13	12.490663131879135	1.615499665599641e-12	NDUFS7, NDUFS8, AIFM1, MT-ND1, MT-ND4, NDUFA9, NDUFA13, MT-ND5, NDUFS2, NDUFS3
GO:0004129	cytochrome-c oxidase activity	15	0.033482142857142856	36.614583333333336	1.3848519037012704e-22	3.072293948361268e-19	18.512537234589747	6.144587896722536e-19	COX7A1, COX7B, COX4I1, COX7A2L, COX5A, COX6A2, COX5B, MT-CO1, COX6A1, MT-CO2, COX8A, COX6B1, MT-CO3, COX4I2, COX7B2
GO:0008569	minus-end-directed microtubule motor activity	14	0.03125	34.173611111111114	2.3055484740111626e-20	3.4099061930625095e-17	16.467257568337615	1.0229718579187529e-16	DNAH6, DNAH8, DNAH1, DNAH2, DNAH7, DNAH12, DNAH3, DNAH9, DYNC1H1, DNAH17, DNAH14, DNAH11, DNAH5, DNAH10
GO:0032051	clathrin light chain binding	5	0.011160714285714286	31.38392857142857	1.2080689275120624e-07	2.552477062557629e-05	4.593038151944053	0.0005360201831371021	CLTCL1, NSG1, HIP1R, HIP1, CLTC
GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	11	0.024553571428571428	30.20703125	2.9641865459353875e-15	1.878870814902188e-12	11.726103079560922	1.3152095704315315e-11	ATP5F1D, ATP5PD, ATP5F1A, ATP5F1E, MT-ATP6, ATP5PO, MT-ATP8, ATP5F1B, ATP5PB, ATP5PF, ATP5F1C
GO:0004298	threonine-type endopeptidase activity	8	0.017857142857142856	25.107142857142854	1.8026187186970517e-10	5.332146169905879e-08	7.273097953798044	7.998219254858819e-07	PSMB5, PSMB4, PSMA4, PSMB2, PSMB7, PSMB3, PSMB6, PSMB1
GO:0051959	dynein light intermediate chain binding	14	0.03125	22.78240740740741	1.2532749114569934e-16	1.3901951955336698e-13	12.85692421673044	5.560780782134679e-13	DNAH6, DNAH8, DNAH1, DNAH2, DNAH7, DNAH3, DNAH9, DYNC1H1, DNAH17, DNAL4, DNAH14, DNAH11, DNAH5, DNAH10
GO:0045505	dynein intermediate chain binding	15	0.033482142857142856	18.307291666666668	6.493042412875379e-16	4.801604864321343e-13	12.318613581951952	2.8809629185928055e-12	DNAH6, DNAH8, DNAH1, DNAH2, DNAH11, DNAH7, DNAH3, DNAH9, DYNC1H1, DNAH17, DNAL4, DNAH14, HTT, DNAH5, DNAH10
GO:0035497	cAMP response element binding	7	0.015625	18.09191176470588	4.8209055407483675e-08	1.1883532157944726e-05	4.9250544542448855	0.00021390357884300506	CREB3L4, CREB3L1, CREB3L2, CREB3L3, CREB3, CREB5, CREB1
GO:0035615	clathrin adaptor activity	7	0.015625	17.086805555555557	7.734482071381616e-08	1.7158948475360115e-05	4.765509329852181	0.0003431789695072023	AP2S1, AP2A1, AP2B1, AP2A2, AP2M1, HIP1R, HIP1
GO:0003899	DNA-directed 5'-3' RNA polymerase activity	14	0.03125	16.625	3.099524182135743e-14	1.375258879613629e-11	10.861615542266398	1.375258879613629e-10	POLR2F, POLR2I, POLR2J3, POLR2D, POLR2K, POLR2G, POLR2E, POLR2J, POLR2J2, POLR2L, POLR2A, POLR2C, POLR2H, POLR2B
GO:0004602	glutathione peroxidase activity	7	0.015625	13.980113636363637	3.830265617517861e-07	6.7979554179707e-05	4.167621687913124	0.0016994888544926748	GPX7, GPX1, GPX2, GPX6, GPX3, GPX8, GPX5
GO:0009055	electron transfer activity	17	0.03794642857142857	12.047379032258062	2.5221210819679118e-14	1.2434056934101805e-11	10.905387148379345	1.1190651240691625e-10	MAOB, SDHD, GPX2, COX5A, NDUFV2, SDHB, NDUFS6, COX7A2, UQCR11, SDHC, SDHA, CYCS, NDUFS1, MT-CO3, NDUFS2, QDPR, NDUFS3
GO:0003777	microtubule motor activity	11	0.024553571428571428	8.332974137931034	6.527440565717559e-08	1.5243291468467794e-05	4.816921246103362	0.00028962253790088807	DNAH8, KIF5A, DNAH1, DNAH2, DNAH7, DNAI2, DNAH3, DNAH17, KIF5B, DNAL4, KIF5C
GO:0005200	structural constituent of cytoskeleton	19	0.04241071428571429	8.184436274509805	1.4752702689699533e-12	5.950703803108803e-10	9.22543166624954	6.545774183419683e-09	TUBA3C, TUBA8, HIP1, TUBB4A, TUBA3D, TUBAL3, TUBB, TUBA1B, TUBA1A, TUBB3, TUBB2A, TUBA1C, TUBA3E, TUBB4B, TUBB6, TUBB1, TUBB2B, TUBA4A, TUBB8
GO:0044877	protein-containing complex binding	31	0.06919642857142858	4.16532874617737	2.1829679823950346e-11	8.07152411490564e-09	8.093044451375084	9.685828937886768e-08	HTR2A, CAV3, SIN3A, BECN2, CLTA, RTN4R, GRIN1, GIT1, CNTF, CASP8, TUBB, ATM, TRAF2, ATG101, NDUFA8, SCAMP5, MTHFR, APOE, RPH3A, DLG4, UQCRC1, NDUFA4, ADORA2A, PRKN, PRNP, CASP3, AP2B1, ULK1, NDUFA9, TTR, STX1A
GO:0031625	ubiquitin protein ligase binding	23	0.05133928571428571	3.4372874149659864	3.0287414984397725e-07	5.5993858452405296e-05	4.251859604895589	0.001343852602857727	WFS1, SLC25A5, ATXN3, GRIK2, CASP8, TUBB, VCP, TUBA1B, TRAF2, POLR2A, AMBRA1, PSMA3, BECN1, HSP90AA1, PSMD1, UQCRC1, TP53, MAP1LC3A, DNM1L, NDUFS2, PRKN, STUB1, PPARGC1A
GO:0042802	identical protein binding	70	0.15625	2.071127946127946	5.792521612521552e-09	1.5594007993784394e-06	5.807042247487694	2.5701418394758126e-05	PLCB1, PPARG, HTR2A, MTOR, ZDHHC17, ATXN1, GRIK2, SYN2, HTT, HIP1R, FGFR3, PSMA7, CNR1, CASP8, SOD1, VCP, SERPINA1, SLBP, FMR1, ATM, SP1, ATG101, DNAL4, TRAF2, KIF5B, GRM5, CREB1, PACSIN1, FUS, SIRT1, MAOB, BECN1, ARFIP2, HSPB1, APOE, HSP90AA1, SNCA, FTL, CREB3L3, APAF1, CTH, TP53, FAAH, CREB3, GPX3, TOR1A, ADORA2A, DNM1L, AKT1, ERN1, BAX, PSMD4, TARBP2, PRKN, PRNP, TRIP10, SOD2, EIF2AK2, GAPDH, ULK1, PSMC3, PSMC6, MAP3K5, BNIP3, SH3GL3, TUBA1A, CASP1, TTR, STX1A, DCTN2
