ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB02659	DB00484	Cholic Acid	Brimonidine	1.2797619047619047	A	D, S	False	False
DB06155	DB03756	Rimonabant	Doconexent	1.25	A		False	False
DB00794	DB09232	Primidone	Cilnidipine	1.25	N	C	False	False
DB02546	DB00484	Vorinostat	Brimonidine	1.25	L	D, S	False	False
DB06155	DB01393	Rimonabant	Bezafibrate	1.2222222222222223	A	C	False	False
DB11830	DB00484	Mocetinostat	Brimonidine	1.1666666666666665		D, S	False	False
DB02659	DB06155	Cholic Acid	Rimonabant	1.1656314699792958	A	A	False	False
DB06155	DB00412	Rimonabant	Rosiglitazone	1.150793650793651	A	A	False	False
DB05223	DB00484	Pracinostat	Brimonidine	1.1428571428571428		D, S	False	False
DB00933	DB02266	Mesoridazine	Flufenamic acid	1.125	N	M	False	False
DB06155	DB02266	Rimonabant	Flufenamic acid	1.125	A	M	False	False
DB01184	DB02266	Domperidone	Flufenamic acid	1.125	A	M	False	False
DB00570	DB01184	Vinblastine	Domperidone	1.125	L	A	False	False
DB02659	DB09232	Cholic Acid	Cilnidipine	1.1221532091097308	A	C	False	False
DB06155	DB01173	Rimonabant	Orphenadrine	1.119047619047619	A	M, N	True	False
DB06155	DB01118	Rimonabant	Amiodarone	1.1124999999999998	A	C	False	False
DB01393	DB01184	Bezafibrate	Domperidone	1.1111111111111112	C	A	False	False
DB00570	DB00484	Vinblastine	Brimonidine	1.1111111111111112	L	D, S	False	False
DB01393	DB00933	Bezafibrate	Mesoridazine	1.1111111111111112	C	N	False	False
DB00484	DB06589	Brimonidine	Pazopanib	1.1038461538461537	D, S	L	False	False
DB04599	DB02266	Aniracetam	Flufenamic acid	1.1	N	M	False	False
DB02659	DB00575	Cholic Acid	Clonidine	1.0899470899470898	A	C, N, S	False	False
DB09213	DB09232	Dexibuprofen	Cilnidipine	1.0892857142857144	M	C	True	False
DB00988	DB09232	Dopamine	Cilnidipine	1.0843137254901962	C	C	False	False
DB00675	DB00933	Tamoxifen	Mesoridazine	1.0833333333333335	L	N	False	False
DB01247	DB00794	Isocarboxazid	Primidone	1.0833333333333335	N	N	False	False
DB00675	DB01184	Tamoxifen	Domperidone	1.0833333333333335	L	A	False	False
DB06155	DB00675	Rimonabant	Tamoxifen	1.0833333333333335	A	L	False	False
DB02659	DB00949	Cholic Acid	Felbamate	1.0786749482401654	A	N	False	False
DB07863	DB00794	2-chloro-5-nitro-N-phenylbenzamide	Primidone	1.076923076923077		N	False	False
DB11886	DB00794	Infigratinib	Primidone	1.0714285714285716		N	False	False
