# Reference distribution mean: 1.187870896038214 and standard deviation: 0.9373678057811813
# Threshold: 0.68
# 3.83% of reference distribution below threshold, 11.81% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB03347	-7.846980982138788	-9.638534439154927	Triethyl phosphate
DB05404	-7.846980982138788	-9.638534439154927	AZD 3355
DB08363	-7.846980982138788	-9.638534439154927	1-(9-ethyl-9H-carbazol-3-yl)-N-methylmethanamine
DB08194	-7.198931240688173	-8.947183896226322	4-methyl-7,8-dihydro-5H-thiopyrano[4,3-d]pyrimidin-2-amine
DB06961	-7.198931240688173	-8.947183896226322	5-(5-chloro-2,4-dihydroxyphenyl)-N-ethyl-4-[4-(morpholin-4-ylmethyl)phenyl]isoxazole-3-carboxamide
DB08197	-7.198931240688173	-8.947183896226322	(5E,7S)-2-amino-7-(4-fluoro-2-pyridin-3-ylphenyl)-4-methyl-7,8-dihydroquinazolin-5(6H)-one oxime
DB06958	-7.198931240688173	-8.947183896226322	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-PIPERAZIN-1-YL-1H-PYRAZOLE-3-CARBOXAMIDE
DB06957	-7.198931240688173	-8.947183896226322	4-CHLORO-6-(4-{4-[4-(METHYLSULFONYL)BENZYL]PIPERAZIN-1-YL}-1H-PYRAZOL-5-YL)BENZENE-1,3-DIOL
DB06956	-7.198931240688173	-8.947183896226322	N-(4-ACETYLPHENYL)-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE
DB07601	-7.198931240688173	-8.947183896226322	4-chloro-6-{5-[(2-morpholin-4-ylethyl)amino]-1,2-benzisoxazol-3-yl}benzene-1,3-diol
DB12442	-7.198931240688173	-8.947183896226322	Alvespimycin
DB08786	-7.198931240688173	-8.947183896226322	4-(2-methoxyethoxy)-6-methylpyrimidin-2-amine
DB08788	-7.198931240688173	-8.947183896226322	3,6-DIAMINO-5-CYANO-4-(4-ETHOXYPHENYL)THIENO[2,3-B]PYRIDINE-2-CARBOXAMIDE
DB08789	-7.198931240688173	-8.947183896226322	2-AMINO-4-(2,4-DICHLOROPHENYL)-N-ETHYLTHIENO[2,3-D]PYRIMIDINE-6-CARBOXAMIDE
DB08787	-7.198931240688173	-8.947183896226322	4-(2,4-dichlorophenyl)-5-phenyldiazenyl-pyrimidin-2-amine
DB03899	-7.198931240688173	-8.947183896226322	9-Butyl-8-(4-Methoxybenzyl)-9h-Purin-6-Amine
DB04254	-7.198931240688173	-8.947183896226322	8-Benzo[1,3]Dioxol-,5-Ylmethyl-9-Butyl-2-Fluoro-9h-Purin-6-Ylamine
DB02840	-7.198931240688173	-8.947183896226322	4-(1,3-Benzodioxol-5-Yl)-5-(5-Ethyl-2,4-Dihydroxyphenyl)-2h-Pyrazole-3-Carboxylic Acid
DB07502	-7.198931240688173	-8.947183896226322	4-bromo-6-(6-hydroxy-1,2-benzisoxazol-3-yl)benzene-1,3-diol
DB07495	-7.198931240688173	-8.947183896226322	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)-1H-PYRAZOLE-3-CARBOXAMIDE
DB02550	-7.198931240688173	-8.947183896226322	8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-2-Fluoro-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine
DB08443	-7.198931240688173	-8.947183896226322	2-(1H-pyrrol-1-ylcarbonyl)benzene-1,3,5-triol
DB08442	-7.198931240688173	-8.947183896226322	4-{[(2R)-2-(2-methylphenyl)pyrrolidin-1-yl]carbonyl}benzene-1,3-diol
DB08436	-7.198931240688173	-8.947183896226322	8-BENZO[1,3]DIOXOL-,5-YLMETHYL-9-BUTYL-9H-
DB04054	-7.198931240688173	-8.947183896226322	9-Butyl-8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine
DB06964	-7.198931240688173	-8.947183896226322	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)ISOXAZOLE-3-CARBOXAMIDE
DB03093	-7.198931240688173	-8.947183896226322	8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine
DB03504	-7.198931240688173	-8.947183896226322	9-Butyl-8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9h-Purin-6-Ylamine
DB03749	-7.198931240688173	-8.947183896226322	4-(1h-Imidazol-4-Yl)-3-(5-Ethyl-2,4-Dihydroxy-Phenyl)-1h-Pyrazole
DB02359	-7.198931240688173	-8.947183896226322	9-Butyl-8-(2,5-Dimethoxy-Benzyl)-9h-Purin-6-Ylamine
DB04588	-7.198931240688173	-8.947183896226322	N-[4-(AMINOSULFONYL)BENZYL]-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE
DB08557	-7.198931240688173	-8.947183896226322	2-[(2-methoxyethyl)amino]-4-(4-oxo-1,2,3,4-tetrahydro-9H-carbazol-9-yl)benzamide
DB04505	-7.198931240688173	-8.947183896226322	8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine
DB03809	-7.198931240688173	-8.947183896226322	9-Butyl-8-(3-Methoxybenzyl)-9h-Purin-6-Amine
DB07324	-7.198931240688173	-8.947183896226322	3-({2-[(2-AMINO-6-METHYLPYRIMIDIN-4-YL)ETHYNYL]BENZYL}AMINO)-1,3-OXAZOL-2(3H)-ONE
DB07100	-7.198931240688173	-8.947183896226322	4-CHLORO-6-(4-PIPERAZIN-1-YL-1H-PYRAZOL-5-YL)BENZENE-1,3-DIOL
DB07325	-7.198931240688173	-8.947183896226322	N-[(2-AMINO-6-METHYLPYRIMIDIN-4-YL)METHYL]-3-{[(E)-(2-OXODIHYDROFURAN-3(2H)-YLIDENE)METHYL]AMINO}BENZENESULFONAMIDE
