	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	Normalized_Enrichment_Score	FDR
0	DB12442	Alvespimycin	Investigated for use as an antineoplastic agent for solid tumors, advanced solid tumours or acute myeloid leukaemia. 	HSP90AA1	-8.836826531396843	-1.5422299512605533	<1e-05
1	DB05015	Belinostat	Belinostat is indicated for the treatment of patients with relapsed or refractory peripheral T-cell lymphoma (PTCL) with manageable safety profile. It is a potential alternative therapy for patients who did not experience adequate response to first-line drugs for PTCL. It can be used in patients with baseline thrombocytopenia [A19161]. 	HDAC1	-8.524700239590059	1.964472477792755	<1e-05
2	DB00643	Mebendazole	For the treatment of <i>Enterobius vermicularis</i> (pinworm), <i>Trichuris trichiura</i> (whipworm), <i>Ascaris lumbricoides</i> (common roundworm), <i>Ancylostoma duodenale</i> (common hookworm), <i>Necator americanus</i> (American hookworm) in single or mixed infections.	TUBB4B, TUBA1A	-8.17593736435351	1.8117036622864755	<1e-05
3	DB00518	Albendazole	For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, <i>Taenia solium</i> and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, <i>Echinococcus granulosus</i>.	TUBB4B, TUBA1A	-8.17593736435351	-1.5279510771001514	<1e-05
4	DB13978	Selisistat		SIRT1	-7.95775911988471	-1.9884115005404943	<1e-05
5	DB08435	(5E,14E)-11-oxoprosta-5,9,12,14-tetraen-1-oic acid		PPARG	-7.758711886116155	2.258195284922652	<1e-05
6	DB09201	Ciglitazone		PPARG	-7.758711886116155	1.938815874193213	<1e-05
7	DB00877	Sirolimus	"Sirolimus is indicated for the prophylaxis of organ rejection in patients aged 13 years or older receiving renal transplants. In patients at low-to moderate-immunologic risk, it is recommended that sirolimus be used initially in a regimen with [cyclosporine] and corticosteroids; cyclosporine should be withdrawn two to four months after transplantation. In patients at high-immunologic risk (defined as Black recipients and/or repeat renal transplant recipients who lost a previous allograft for immunologic reason and/or patients with high panel-reactive antibodies [PRA; peak PRA level > 80%]), it is recommended that sirolimus be used in combination with cyclosporine and corticosteroids for the first year following transplantation.[L19809]

It is also used to treat lymphangioleiomyomatosis.[L19809] 

In the US, albumin-bound sirolimus for intravenous injection is indicated for the treatment of adult patients with locally advanced unresectable or metastatic malignant perivascular epithelioid cell tumour (PEComa).[L39267]

In Europe, it is recommended that sirolimus for the prophylaxis of organ rejection in renal transplants is used in combination with cyclosporin microemulsion and corticosteroids for two to three months. Sirolimus may be continued as maintenance therapy with corticosteroids only if cyclosporin microemulsion can be progressively discontinued.[L7021]"	MTOR	-7.686163014290332	-2.479670460058644	<1e-05
8	DB06233	Ridaforolimus	Investigated for use/treatment in solid tumors, sarcoma, cancer/tumors (unspecified), endometrial cancer, prostate cancer, and bone metastases.	MTOR	-7.686163014290332	-2.247211015352935	<1e-05
9	DB01590	Everolimus	"Everolimus is indicated for the treatment of postmenopausal women with advanced hormone receptor-positive, HER2-negative breast cancer (advanced HR+ BC) in combination with exemestane, after failure of treatment with letrozole or anastrozole.
Indicated for the treatment of adult patients with progressive neuroendocrine tumors of pancreatic origin (PNET) with unresectable, locally advanced or metastatic disease.
Indicated for the treatment of adult patients with advanced renal cell carcinoma (RCC) after failure of treatment with sunitinib or sorafenib.
Indicated for the treatment of adult patients with renal angiomyolipoma and tuberous sclerosis complex (TSC), not requiring immediate surgery.
Indicated in pediatric and adult patients with tuberous sclerosis complex (TSC) for the treatment of subependymal giant cell astrocytoma (SEGA) that requires therapeutic intervention but cannot be curatively resected."	MTOR	-7.686163014290332	-2.125356728325809	<1e-05
10	DB03010	Patupilone	Investigated for use/treatment in ovarian cancer, lung cancer, brain cancer, breast cancer, and gastric cancer.	TUBA3C, TUBB3, TUBA1C, TUBB4A, TUBB4B, TUBB1, TUBB, TUBA8, TUBA1A, TUBA1B, TUBA4A	-7.618567677885153	-1.5877246187961809	<1e-05
11	DB07558	acetylleucyl-leucyl-norleucinal		PSMA7	-7.56438652425206	1.8918761379730304	<1e-05
12	DB00323	Tolcapone	Used as an adjunct to levodopa/carbidopa therapy for the symptomatic treatment of Parkinson's Disease. This drug is generally reserved for patients with parkinsonian syndrome receiving levodopa/carbidopa who are experiencing symptom fluctuations and are not responding adequately to or are not candidates for other adjunctive therapies.	COMT	-6.967388067931665	2.1600854037986466	<1e-05
13	DB01132	Pioglitazone	Pioglitazone is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.[L11416] It is also available in combination with [metformin],[L11419] [glimepiride],[L11422] or [alogliptin][L11425] for the same indication.	PPARG, MAOB	-6.904077360879504	-2.0770856095147607	<1e-05
14	DB12465	Ketanserin		HTR2A	-6.801843157657411	-1.4665818451028545	<1e-05
15	DB01247	Isocarboxazid	Isocarboxazid is indicated for the treatment of the enduring and debilitating symptoms of depression that have not responded to other antidepressant drugs.[L1372] Depression is a common but serious mood disorder. The patient will present changes in its feelings, thoughts, and ability to handle everyday activities. For a mood disorder to be considered as depression, the symptoms should be present for at least two weeks.[L1375]	MAOA, MAOB	-5.94555403471033	-1.5965738109010987	<1e-05
16	DB07919	Harmine		MAOA	-5.841665233777806	-1.6700005863335947	<1e-05
17	DB11830	Mocetinostat		HDAC2, HDAC1, HDAC3	-5.732817351294125	-2.3208249200080933	<1e-05
18	DB05134	Tanespimycin	Investigated for use/treatment in leukemia (myeloid) and solid tumors.	HSP90AB1, HSP90AA1	-4.516770259058773	-1.696931753591871	<1e-05
19	DB05223	Pracinostat	For the treatment of various forms of cancer.	HDAC2, HDAC1, HDAC3, HDAC6	-4.348791510150769	1.802621971405569	<1e-05
20	DB02659	Cholic Acid	Oral cholic acid is indicated for: treatment of bile acid synthesis disorders due to single enzyme defects; and as adjunctive treatment of peroxisomal disorders including Zellweger spectrum disorders in patients who exhibit manifestations of liver disease, steatorrhea or complications from decreased fat soluble vitamin absorption. 	COX7B, MT-CO1, COX6A2, PLA2G1B, ADH1C, FABP6, COX5B, MT-CO3, GPBAR1, ESRRG, COX5A, COX6C, COX7C, COX6B1, MT-CO2, FECH, COX8A, CES1, COX4I1, NR1H4, COX7A1	-4.07440695948977	-1.6421358474203578	<1e-05
21	DB04795	Thenoyltrifluoroacetone		CES1, SDHA	-3.875254685226254	2.2052473923528604	<1e-05
22	DB01782	Pyrazolanthrone		TTK, MAPK10, MAPK8, MAPK8IP1	-3.7308476246631392	-2.2290093734835787	<1e-05
23	DB06155	Rimonabant	For use in conjunction with diet and exercise for patients with a body mass index greater than 30 kg/m<sup>2</sup>, or patients wih a BMI greater than 27 kg/m<sup>2</sup> with associated risk factors, such as type 2 diabetes or dyslipidaemia.	CNR1, GPR55	-3.653568666782988	-2.090325523577949	<1e-05
24	DB02546	Vorinostat	For the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies.	HDAC1, HDAC3, HDAC6, HDAC8, HDAC2	-3.518376005464756	1.8486033721847783	<1e-05
25	DB02509	Farnesol		NR1H4, MAOB	-3.1230784111817784	-2.0953887751850515	<1e-05
26	DB02424	Geldanamycin		HSP90B1, HSP90AA1, HSP90AB1	-3.0767515016127494	-2.1097947232659773	<1e-05
27	DB00409	Remoxipride	Remoxipride is an atypical antipsychotic once used for the treatment of schizophrenia.[A215532]	DRD3, HTR2A, SIGMAR1, DRD2, DRD4	-2.909215074722645	-1.5171834872497276	<1e-05
28	DB07863	2-chloro-5-nitro-N-phenylbenzamide		RXRA, PPARG, NCOA2	-2.717379953185853	-1.68633147451983	<1e-05
