GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0034105	positive regulation of tissue remodeling	4	0.01951219512195122	64.0130081300813	1.6860737767759365e-07	5.350474118302305e-05	4.271607732401344	0.002086684906137899	IL23A, IL12B, IL15, IL21
GO:0043382	positive regulation of memory T cell differentiation	5	0.024390243902439025	53.34417344173442	1.4212847647663325e-08	5.863273416249377e-06	5.231859853316532	0.0001758982024874813	IL23A, IL12B, HLA-DRB1, CD46, HLA-DRA
GO:0048143	astrocyte activation	7	0.03414634146341464	44.809105691056914	7.191397580370384e-11	5.562546028416493e-08	7.254726382338277	8.900073645466388e-07	CNTF, TNF, IFNG, PSEN1, IL1B, APP, MAPT
GO:0051044	positive regulation of membrane protein ectodomain proteolysis	7	0.03414634146341464	42.00853658536585	1.2672228471342221e-10	9.225382327137136e-08	7.035015626347737	1.5683149956133132e-06	TNF, TNFRSF1B, RGMA, IFNG, IL1B, ADAM8, APOE
GO:0002503	peptide antigen assembly with MHC class II protein complex	6	0.02926829268292683	36.00731707317073	8.706563687173289e-09	3.990830821942838e-06	5.398936682302168	0.00010775243219245662	HLA-DQA1, HLA-DRB1, HLA-DRA, HLA-DRB5, HLA-DQB1, HLA-DQA2
GO:0001916	positive regulation of T cell mediated cytotoxicity	9	0.04390243902439024	34.5670243902439	2.1375677056778397e-12	2.4049579932244496e-09	8.618892504932623	2.6454537925468945e-08	IL23A, IL12B, HLA-A, HLA-DRB1, HLA-DRA, PTPRC, HLA-F, P2RX7, IL12A
GO:0032700	negative regulation of interleukin-17 production	5	0.024390243902439025	34.292682926829265	2.164352488400622e-07	6.696506599111525e-05	4.174151698850471	0.00267860263964461	IL12B, IFNG, PRNP, FOXP3, IL12A
GO:0002381	immunoglobulin production involved in immunoglobulin-mediated immune response	6	0.02926829268292683	33.88923959827834	1.3339126010836792e-08	5.692587017590212e-06	5.244690321982839	0.00016508502351011615	HLA-DQA1, HLA-DRB1, HLA-DRA, HLA-DRB5, HLA-DQB1, HLA-DQA2
GO:1900017	positive regulation of cytokine production involved in inflammatory response	7	0.03414634146341464	30.55166297117517	1.791615060129593e-09	1.0078649083710837e-06	5.99659767570872	2.217302798416384e-05	IL17A, TNF, IL6, NOD2, STAT3, CD6, HIF1A
GO:0048662	negative regulation of smooth muscle cell proliferation	8	0.03902439024390244	24.779228953579857	7.752917834046639e-10	4.79750555570806e-07	6.31898451366139	9.59501111141612e-06	MFN2, IL12B, TNFAIP3, IFNG, IL15, NOS3, APOE, IL12A
GO:0032740	positive regulation of interleukin-17 production	6	0.02926829268292683	24.00487804878049	1.365101081832552e-07	4.445918681252543e-05	4.35203848509323	0.0016894490988759664	IL23A, IL12B, IL6, NOD2, IL15, IL21
GO:0042102	positive regulation of T cell proliferation	14	0.06829268292682927	22.404552845528457	1.2856020524821732e-15	5.3035370005064584e-12	11.275434396915122	1.5910611001519376e-11	IL23A, IL12B, IL6, TYK2, VCAM1, CD6, IL15, IL1B, CD46, PTPRC, IL21, CD86, TNFSF13B, HAVCR2
GO:0032703	negative regulation of interleukin-2 production	6	0.02926829268292683	21.337669376693768	2.9250057533136683e-07	8.41857469837441e-05	4.074761430237625	0.003619987120300996	NOD2, TNFAIP3, PTPRC, PRNP, FOXP3, HAVCR2
GO:0032722	positive regulation of chemokine production	9	0.04390243902439024	20.097107203630177	5.018265969097372e-10	3.268739980713109e-07	6.485619624978763	6.210605963354907e-06	TNF, IL6, IL33, IFNG, TLR3, APP, CSF1R, HIF1A, HAVCR2
GO:0031295	T cell costimulation	8	0.03902439024390244	19.696310193871167	5.629877033295605e-09	2.754135731688429e-06	5.560014660277088	6.967535816406641e-05	TNFSF14, CAV1, CD24, KLRK1, CD5, ICOS, CD86, TNFSF13B
GO:0032731	positive regulation of interleukin-1 beta production	12	0.05853658536585366	19.203902439024393	1.0640202213538778e-12	1.4631460288306213e-09	8.834712327086958	1.3168314259475591e-08	IL17A, CASP1, TNF, IL6, NOD2, STAT3, GSDMD, IFNG, MALT1, NLRP3, APP, P2RX7
GO:0032735	positive regulation of interleukin-12 production	8	0.03902439024390244	18.289430894308943	1.0515453300184929e-08	4.647830358681738e-06	5.332749731657512	0.00013013925004308867	IL17A, IL23A, IL12B, NOD2, IFNG, TLR3, IRF8, CD40
GO:0031663	lipopolysaccharide-mediated signaling pathway	7	0.03414634146341464	18.165853658536587	9.474767686563891e-08	3.350277853968992e-05	4.474919173428381	0.0011725972488891472	TNF, MAPK1, MALT1, CD6, IL1B, PTPN22, NOS3
GO:0042531	positive regulation of tyrosine phosphorylation of STAT protein	12	0.05853658536585366	17.72667917448405	2.9264684477308126e-12	3.0181644590930447e-09	8.520257099308393	3.621797350911654e-08	IL23A, CNTF, IL12B, IL6, TNF, TNFRSF1A, IFNG, IL15, CSF1R, IL21, CD40, IL12A
GO:0032729	positive regulation of interferon-gamma production	14	0.06829268292682927	17.68780487804878	4.4030052424641004e-14	1.0898318576147142e-10	9.962640501089593	5.44915928807357e-10	IL23A, IL12A, IL12B, HLA-A, TYK2, SLAMF1, TNF, IL1B, TLR3, PTPN22, IRF8, KLRK1, IL21, HAVCR2
