GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0042613	MHC class II protein complex	6	0.02926829268292683	33.88923959827834	1.3339126010836792e-08	2.3997087693495388e-06	5.619841461429642	2.399708769349539e-05	HLA-DQA1, HLA-DRB1, HLA-DRA, HLA-DRB5, HLA-DQB1, HLA-DQA2
GO:0071556	integral component of lumenal side of endoplasmic reticulum membrane	9	0.04390243902439024	30.863414634146338	7.034210383136633e-12	2.1090907465438004e-09	8.675904733738294	1.2654544479262802e-08	HLA-A, HLA-C, HLA-DQA1, HLA-DRB1, HLA-DRA, HLA-DRB5, HLA-DQB1, HLA-DQA2, HLA-F
GO:0012507	ER to Golgi transport vesicle membrane	9	0.04390243902439024	16.30520018407731	3.6045905506159047e-09	7.508885056829413e-07	6.1244245436367954	6.484658400558012e-06	HLA-A, HLA-C, HLA-DQA1, HLA-DRB1, HLA-DRA, HLA-DRB5, HLA-DQB1, HLA-DQA2, HLA-F
GO:0030669	clathrin-coated endocytic vesicle membrane	8	0.03902439024390244	11.132697066101096	5.856569053731201e-07	9.57815247969312e-05	4.0187182534740105	0.001053596772766243	HLA-DQA1, HLA-DRB1, HLA-DRA, HLA-DRB5, HLA-DQB1, HLA-DQA2, IL7R, APOE
GO:0009897	external side of plasma membrane	29	0.14146341463414633	8.362059620596206	1.3242558326009328e-18	1.1911681214245392e-15	14.924026937884046	2.3823362428490783e-15	TNF, S1PR1, CD5, MCAM, CXCR3, IL17A, CD6, HLA-DRB1, PTPRC, CCR6, KLRK1, HFE, MOG, VCAM1, BTNL2, CCR5, CD86, SELE, CD40, IL7R, IL12B, PDCD1, ITGA4, SLAMF1, IL2RA, ACKR3, HLA-F, P2RX7, AQP4
GO:0009986	cell surface	42	0.2048780487804878	6.699035734543392	5.666440207937856e-23	1.0193925934080204e-19	18.99165852618552	1.0193925934080204e-19	TNF, RGMA, NOD2, IL15, CD24, CNTN2, NEO1, CRYAB, HLA-A, CD58, HAVCR1, HLA-C, HLA-DRB1, PSEN1, CD46, PTPRC, CCR6, KLRK1, CSF1R, PLAU, NOTCH3, PTPRK, VCAM1, TNR, ZPLD1, TNFRSF1A, TLR3, CCR5, ADAM8, CD86, CD40, MBP, KCNA1, ITGA4, ASIC1, ACKR3, HLA-DRA, APP, IL1A, PRNP, HLA-F, HAVCR2
GO:0045121	membrane raft	16	0.07804878048780488	6.50979743695742	3.756529489242063e-09	7.508885056829413e-07	6.1244245436367954	6.757996551146471e-06	KCNA3, TNF, TNFRSF1B, S1PR1, TNR, CBLB, TNFRSF1A, CAV1, PSEN1, APP, PTPRC, CD24, PRNP, CNR1, SELE, MAPT
GO:0005887	integral component of plasma membrane	46	0.22439024390243903	3.1192779385420972	2.8742686661297655e-12	1.292702332591862e-09	8.888501467536937	5.170809330367448e-09	MERTK, IL22RA2, TNF, IL20RA, CD5, PTPRZ1, CNR1, NEO1, VAMP1, CXCR3, HLA-A, CD58, HRH1, HLA-C, HLA-DQA1, CD6, PSEN1, HLA-DRB1, CD46, PTPRC, CCR6, KLRK1, CSF1R, HFE, NRG1, PTPRK, TNFRSF21, KCNK5, VCAM1, CAV1, TNFRSF1A, TLR3, CCR5, ADAM8, HLA-DQA2, SELE, CD40, GRM4, KCNA1, TNFSF10, KCNJ10, ASIC1, HLA-DRA, APP, P2RX7, AQP4
GO:0005615	extracellular space	47	0.22926829268292684	2.992650579025684	6.769458136478344e-12	2.1090907465438004e-09	8.675904733738294	1.217825518752454e-08	MERTK, IL22RA2, IL22, TNF, CCL20, IL6, IL33, IFNG, IL15, LAMA5, CXCL11, CST3, SIAE, IL1RN, TNFSF13B, MCAM, IL17A, NCOA5, HLA-DRB1, BCHE, IL1B, IL21, MPO, PLAU, HFE, APOE, NRG1, SPP1, VCAM1, TNR, ZPLD1, GSDMD, TNFRSF1A, TLR3, DKKL1, TNFSF14, SELE, CNTF, IL12B, CNP, POMC, APP, IL1A, MMP9, HLA-F, IFNB1, IL12A
GO:0005576	extracellular region	51	0.24878048780487805	2.7220651039195216	2.3112060549382025e-11	5.939799561191181e-09	8.226228210058766	4.1578596928338265e-08	CCN3, IL22RA2, IL22, TNF, CCL20, IL6, ADCYAP1, LAMA4, IL33, IFNG, IL15, LAMA5, NLRP3, CXCL11, CST3, PTPRZ1, TNFSF13B, MCAM, IL17A, IL23A, CD6, BCHE, IL1B, IL21, MPO, PLAU, APOE, NOTCH3, NRG1, SPP1, TNR, GSDMD, MAPK1, TNFRSF1A, ICOS, MAPT, IL7R, C7, CNTF, TNFSF10, IL12B, TNFRSF1B, POMC, NINJ1, APP, IL1A, MMP9, PLEK, IFNB1, AQP4, IL12A
GO:0005886	plasma membrane	93	0.45365853658536587	1.9656206546657147	2.1473465790457983e-12	1.2876921652344637e-09	8.890187946695747	3.8630764957033914e-09	RGMA, S1PR1, STK17B, CST3, PLP1, CD5, PTPRZ1, VAMP1, CXCR3, HLA-DRB1, NOTCH3, EXOC6, TNFRSF21, CAV1, TNFRSF1A, DPP10, ADAM8, TNFSF14, SELE, KCNJ10, PDCD1, ACKR3, RTN4, MERTK, CASP1, PRRT2, HLA-DRB5, CNTN2, IL1RN, HLA-A, HLA-DQA1, PSEN1, CD46, KLRK1, AMER1, PLAU, NOS3, MOG, APOE, GSDMD, HLA-DQA2, ICOS, IL7R, ADH1C, GAPDH, MBP, KCNA1, STAT3, PLEK, TNF, NCF1, CNR1, NEO1, TNFSF13B, MCAM, KCNA3, CD58, HRH1, BCHE, PTPRC, CCR6, LRP1B, CSF1R, HFE, VCAM1, AQP4, CBLB, CCR5, CD86, CD40, TNFRSF1B, ITGA4, CNP, ASIC1, APP, IL1A, PTGER4, P2RX7, NOD2, IL20RA, HLA-DQB1, ERVW-1, HLA-C, PTPRK, MAPK1, BTNL2, MAPT, GRM4, IL2RA, HLA-DRA, PRNP, HLA-F, CLDN11
