Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
CPC006_THP1_6H:BRD-K91623615-001-01-9:10	DB12254	ABT-751	0.4837383884494911	2.32467668368966	<1e-05	<1e-05	THP1
CPC006_THP1_6H:BRD-A56592690-001-01-9:30	DB05448	PX-12	0.49179664946579604	2.288161638111558	<1e-05	<1e-05	THP1
AML001_HL60_6H:BRD-A75409952:10	DB08059	Wortmannin	0.5124865481952585	2.2292177395437442	<1e-05	<1e-05	HL60
LJP009_NPC.CAS9_24H:H13	DB07138	Neflamapimod	0.4096869393416103	2.1262853621855724	<1e-05	<1e-05	NPC.CAS9
AML001_HL60_6H:BRD-K19706299:1.11111	DB00374	Treprostinil	0.4597236141431021	2.105200981119563	<1e-05	<1e-05	HL60
CPC006_SKM1_6H:BRD-K91623615-001-01-9:10	DB12254	ABT-751	0.41968022392046195	2.0437102772985956	<1e-05	<1e-05	SKM1
AML001_HL60_6H:BRD-K19706299:3.33333	DB00374	Treprostinil	0.4493295209385504	2.034317500743558	<1e-05	<1e-05	HL60
CPC006_THP1_6H:BRD-A04706586-236-01-7:10	DB13242	Bucladesine	0.41340601555677026	1.9818060140144238	<1e-05	<1e-05	THP1
NMH002_NEU_6H:BRD-K67860401-001-04-9:10	DB01950	AR-AO-14418	-0.40259933083187993	-1.9607945336322226	<1e-05	<1e-05	NEU
CPC006_U937_6H:BRD-A23770159-001-02-3:11.1	DB00877	Sirolimus	0.44615676663739523	1.9578979269313028	<1e-05	<1e-05	U937
CPC017_NPC_24H:BRD-K22193694-001-08-6:10	DB11221	Dioxybenzone	0.4083363203912092	1.9525009046567672	<1e-05	<1e-05	NPC
LJP007_NPC_24H:E20	DB12021	Dinaciclib	0.44502846793538653	1.935496819288522	<1e-05	<1e-05	NPC
CPC014_NEU_24H:BRD-M64432851-001-01-9:10	DB01268	Sunitinib	-0.4313255958385907	-1.9310630633319634	<1e-05	<1e-05	NEU
DOSBIO002_NEU_24H:BRD-A75409952:1.11111	DB08059	Wortmannin	0.432776787005474	1.9237053822747918	<1e-05	<1e-05	NEU
NMH001_NEU_6H:BRD-K95739795-001-02-9:10	DB12161	Deutetrabenazine	-0.42531884747436954	-1.9202777827141828	<1e-05	<1e-05	NEU
LJP008_NPC_24H:G11	DB02546	Vorinostat	-0.408282509409465	-1.9107472051994878	<1e-05	<1e-05	NPC
CPC006_NOMO1_6H:BRD-A56592690-001-01-9:30	DB05448	PX-12	0.4085053615051557	1.9001970041067382	<1e-05	<1e-05	NOMO1
