# Reference distribution mean: 1.4083971727429059 and standard deviation: 0.7132338091536706
# Threshold: 0.71
# 1.72% of reference distribution below threshold, 8.19% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB00746	-8.03365842788615	-13.238373559202248	Deferoxamine
DB09151	-8.03365842788615	-13.238373559202248	Flutemetamol (18F)
DB02235	-8.03365842788615	-13.238373559202248	L-methionine (R)-S-oxide
DB09148	-8.03365842788615	-13.238373559202248	Florbetaben (18F)
DB05938	-8.03365842788615	-13.238373559202248	Edonerpic
DB12274	-8.03365842788615	-13.238373559202248	Aducanumab
DB05150	-8.03365842788615	-13.238373559202248	CAD106
DB05088	-8.03365842788615	-13.238373559202248	Tetrathiomolybdate
DB09149	-8.03365842788615	-13.238373559202248	Florbetapir (18F)
DB03754	-8.03365842788615	-13.238373559202248	Tromethamine
DB06782	-8.03365842788615	-13.238373559202248	Dimercaprol
DB05846	-8.03365842788615	-13.238373559202248	Mito-4509
DB07794	-6.849066282633458	-11.5774986398566	5-(2-PHENYLPYRAZOLO[1,5-A]PYRIDIN-3-YL)-1H-PYRAZOLO[3,4-C]PYRIDAZIN-3-AMINE
DB06877	-6.849066282633458	-11.5774986398566	N,N-DIMETHYL-4-(4-PHENYL-1H-PYRAZOL-3-YL)-1H-PYRROLE-2-CARBOXAMIDE
DB07788	-6.849066282633458	-11.5774986398566	(3R,5Z,8S,9S,11E)-8,9,16-TRIHYDROXY-14-METHOXY-3-METHYL-3,4,9,10-TETRAHYDRO-1H-2-BENZOXACYCLOTETRADECINE-1,7(8H)-DIONE
DB07264	-6.849066282633458	-11.5774986398566	(S)-N-(1-(3-CHLORO-4-FLUOROPHENYL)-2-HYDROXYETHYL)-4-(4-(3-CHLOROPHENYL)-1H-PYRAZOL-3-YL)-1H-PYRROLE-2-CARBOXAMIDE
DB11120	-6.849066282633458	-11.5774986398566	Turpentine
DB07905	-6.849066282633458	-11.5774986398566	Hypothemycin
