	geneSymbol	geneId
0	BNIP3	664
1	DNAI2	64446
2	QDPR	5860
3	TUBA1A	7846
4	UQCRFS1	7386
5	FGFR3	2261
6	DNAH1	25981
7	TUBB2A	7280
8	SETD2	29072
9	EP300	2033
10	COX6A2	1339
11	BECN1	8678
12	TAF4B	6875
13	C9orf72	203228
14	SDHB	6390
15	DNAH7	56171
16	PPARG	5468
17	FKBP5	2289
18	POLR2G	5436
19	ERN1	2081
20	TBPL1	9519
21	MTHFR	4524
22	RASGRP2	10235
23	TTR	7276
24	SLC29A1	2030
25	PSMC4	5704
26	GIT1	28964
27	SCAMP5	192683
28	MAP3K5	4217
29	MAOB	4129
30	MMP10	4319
31	TFAM	7019
32	KMO	8564
33	PABPN1	8106
34	TUBA3E	112714
35	GPX2	2877
36	BDNF	627
37	COX7A2	1347
38	NDUFB7	4713
39	ATXN1	6310
40	HBA2	3040
41	PSMC6	5706
42	NDUFB2	4708
43	SEM1	7979
44	GNAQ	2776
45	NDUFA4L2	56901
46	KIF5A	3798
47	PSMD2	5708
48	WFS1	7466
49	POLR2J3	548644
50	UQCR11	10975
51	CALB1	793
52	CASP1	834
53	CACNA1A	773
54	MYLK2	85366
55	PLCB1	23236
56	MAPK8	5599
57	CASP8	841
58	DNAJB2	3300
59	NRSN1	140767
60	DNAH5	1767
61	DMPK	1760
62	HSP90AA1	3320
63	SLC20A2	6575
64	SLC25A31	83447
65	DNAH8	1769
66	USP14	9097
67	UCP1	7350
68	PIK3C3	5289
69	ATG2A	23130
70	DNAJB1	3337
71	TGM2	7052
72	UQCRC2	7385
73	HCRT	3060
74	APAF1	317
75	NDUFS3	4722
76	SLC25A5	292
77	CREB3L1	90993
78	EN1	2019
79	DCTN6	10671
80	REST	5978
81	MT-ND1	4535
82	MT-CO1	4512
83	MT-ND6	4541
84	NDUFA3	4696
85	TOR1A	1861
86	COX6B2	125965
87	TUBB6	84617
88	GPX8	493869
89	SH3GL3	6457
90	DNAI1	27019
91	PSMC2	5701
92	UQCRHL	440567
93	DISC2	27184
94	UQCRQ	27089
95	ACTR1B	10120
96	PSMA3	5684
97	COMT	1312
98	FEN1	2237
99	PSMC5	5705
100	ATP5MC1	516
101	SP1	6667
102	MSH2	4436
103	PRKN	5071
104	DNAH17	8632
105	DNAL1	83544
106	NDUFS5	4725
107	ST13	6767
108	COX5B	1329
109	CLTCL1	8218
110	NDUFV2	4729
111	ATP5F1E	514
112	RTN4R	65078
113	PLCB4	5332
114	F8A1	8263
115	AP2A2	161
116	ATP5F1D	513
117	ATM	472
118	RELN	5649
119	SIRT1	23411
120	NDUFB5	4711
121	MT-CO3	4514
122	ATN1	1822
123	ATG101	60673
124	TPH2	121278
125	SIN3A	25942
126	WASHC5	9897
127	GPX5	2880
128	CNR1	1268
129	DNAH9	1770
130	TP53	7157
131	CREB3L4	148327
132	CYC1	1537
133	MT-ND4	4538
134	NDUFA11	126328
135	NKX2-1	7080
136	DYNC1H1	1778
137	UQCRB	7381
138	NDUFS8	4728
139	NDUFB3	4709
140	PSMD8	5714
141	ULK1	8408
142	ARFIP2	23647
143	POLR2F	5435
144	POLR2A	5430
145	CYCS	54205
146	NRBF2	29982
147	AKT1	207
148	DCTN5	84516
149	IL1B	3553
150	SDHC	6391
151	ATP5PF	522
